customerno,company,part_number
WOM001              ,"Woodward, Inc.",A3000               
WOM001              ,"Woodward, Inc.",A3000-TOOL          
JPC001              ,Jarvis Products Corporation,A3001               
WOM001              ,"Woodward, Inc.",A3002               
WOM001              ,"Woodward, Inc.",A3003               
WOM001              ,"Woodward, Inc.",A3004               
KAA001              ,Kahr Arms,A3006               
ATS001              ,"Ametek Thermal Systems, Inc.",A3007               
ATS001              ,"Ametek Thermal Systems, Inc.",A3008               
ATS001              ,"Ametek Thermal Systems, Inc.",A3009               
ATS001              ,"Ametek Thermal Systems, Inc.",A3010               
VTU001              ,"Vision Tech Usa, Inc.",A3011               
VTU001              ,"Vision Tech Usa, Inc.",A3012               
VTU001              ,"Vision Tech Usa, Inc.",A3013               
VTU001              ,"Vision Tech Usa, Inc.",A3014               
VTU001              ,"Vision Tech Usa, Inc.",A3015               
VTU001              ,"Vision Tech Usa, Inc.",A3016               
WOM001              ,"Woodward, Inc.",A3017               
WOM001              ,"Woodward, Inc.",A3018               
ATS001              ,"Ametek Thermal Systems, Inc.",A3021               
ATS001              ,"Ametek Thermal Systems, Inc.",A3022               
CRT002              ,C.R.P. Technology,A3025               
IRT001              ,Interpro Rapid Technoloties,A3026               
IRT001              ,Interpro Rapid Technoloties,A3027               
SPI001              ,"Senco Products, Inc.",A3028               
CAM001              ,"Cmp, Advanced Mech. Solutions",A3034               
JPC001              ,Jarvis Products Corporation,A3035               
JPC001              ,Jarvis Products Corporation,A3036               
JPC001              ,Jarvis Products Corporation,A3037               
JPC001              ,Jarvis Products Corporation,A3038               
HAC001              ,Haemonetics Corporation,A3039               
SPI001              ,"Senco Products, Inc.",A3040               
JPC001              ,Jarvis Products Corporation,A3041               
JPC001              ,Jarvis Products Corporation,A3042               
JPC001              ,Jarvis Products Corporation,A3042T              
OTT001              ,Otto,A3043               
ATU001              ,"Audio Technica, USA",A3044               
ATU001              ,"Audio Technica, USA",A3045               
BFM001              ,Barrett Firearms Mfg. Co.,A3046               
AMA001              ,Arlington Machine And Tool,A3047               
UNI002              ,Universal Instruments,A3048               
JPC001              ,Jarvis Products Corporation,A3049               
LEG001              ,Leica Geosystems,A3050               
LEG001              ,Leica Geosystems,A3050T              
ATS001              ,"Ametek Thermal Systems, Inc.",A3051               
ATS001              ,"Ametek Thermal Systems, Inc.",A3052               
ATS001              ,"Ametek Thermal Systems, Inc.",A3053               
DMI001              ,"Donal Machine, Inc.",A3054               
DMI001              ,"Donal Machine, Inc.",A3054T              
DMI001              ,"Donal Machine, Inc.",A3055               
DMI001              ,"Donal Machine, Inc.",A3056               
DMI001              ,"Donal Machine, Inc.",A3057               
TFI001              ,Tru Form Industries,A3060               
CMS001              ,Cobham Mission Systems Div.,A3061               
ATS001              ,"Ametek Thermal Systems, Inc.",A3062               
WOM001              ,"Woodward, Inc.",A3063               
WOM001              ,"Woodward, Inc.",A3064               
WOM001              ,"Woodward, Inc.",A3065               
WOM001              ,"Woodward, Inc.",A3066               
WOM001              ,"Woodward, Inc.",A3067               
WOM001              ,"Woodward, Inc.",A3068               
WOM001              ,"Woodward, Inc.",A3069               
WOM001              ,"Woodward, Inc.",A3070               
WOM001              ,"Woodward, Inc.",A3071               
TAD001              ,Tobyhanna Army Depot,A3072               
ICG001              ,"Island Components Group, Inc.",A3073               
KNA002              ,"G.S. Precision, Inc.",A3075               
TPI001              ,"Triangle Precision Ind., Inc.",A3077               
ATS001              ,"Ametek Thermal Systems, Inc.",A3078               
ATS001              ,"Ametek Thermal Systems, Inc.",A3079               
ATS001              ,"Ametek Thermal Systems, Inc.",A3080               
ATS001              ,"Ametek Thermal Systems, Inc.",A3081               
ATS001              ,"Ametek Thermal Systems, Inc.",A3082               
WOM001              ,"Woodward, Inc.",A3083               
FMC001              ,"Frontier Machine Co., Inc.",A3084               
FMC001              ,"Frontier Machine Co., Inc.",A3085               
KMI001              ,"Kolar Machine, Inc.",A3086               
THP001              ,Thiokol Propulsion,A3087               
THP001              ,Thiokol Propulsion,A3088               
WOM001              ,"Woodward, Inc.",A3089               
WOM001              ,"Woodward, Inc.",A3090               
SPI001              ,"Senco Products, Inc.",A3092               
OTT001              ,Otto,A3093               
OTT001              ,Otto,A3094               
OTT001              ,Otto,A3095               
ATS001              ,"Ametek Thermal Systems, Inc.",A3096               
OTT001              ,Otto,A3097               
KAA001              ,Kahr Arms,A3098               
ATS001              ,"Ametek Thermal Systems, Inc.",A3099               
ACC002              ,Accudyne Corporation,A3100               
ACE001              ,Advanced Composite Engineering,A3101               
ACE001              ,Advanced Composite Engineering,A3101T              
TEI002              ,Teleflex Inc.,A3102               
OTT001              ,Otto,A3104               
CRT001              ,Jade Manufacturing,A3106               
EKC001              ,Eastman Kodak Company,A3107               
WMI001              ,"Will-mor Manufacturing, Inc.",A3108               
OFC001              ,Ossur (formerly Century Xxii),A3109               
ATS001              ,"Ametek Thermal Systems, Inc.",A3111               
ATS001              ,"Ametek Thermal Systems, Inc.",A3112               
ATS001              ,"Ametek Thermal Systems, Inc.",A3113               
ATS001              ,"Ametek Thermal Systems, Inc.",A3114               
ATS001              ,"Ametek Thermal Systems, Inc.",A3115               
ATS001              ,"Ametek Thermal Systems, Inc.",A3116               
ATS001              ,"Ametek Thermal Systems, Inc.",A3117               
ATS001              ,"Ametek Thermal Systems, Inc.",A3118               
ATS001              ,"Ametek Thermal Systems, Inc.",A3119               
AMA001              ,Arlington Machine And Tool,A3120               
MIM001              ,Micro Machining,A3121               
MIM001              ,Micro Machining,A3122               
ESL001              ,Elbit Systems Ltd.,A3125               
EKC001              ,Eastman Kodak Company,A3126               
SEI002              ,Semikron Incorporated,A3127               
SEI002              ,Semikron Incorporated,A3128               
WOM001              ,"Woodward, Inc.",A3138               
LOI001              ,Lowell Inc.,A3139               
MOI001              ,"Mor-tech, Inc.",A3140               
WOM001              ,"Woodward, Inc.",A3141               
WOM001              ,"Woodward, Inc.",A3142               
WOM001              ,"Woodward, Inc.",A3143               
EEO001              ,Elop Electro Optics,A3149               
EEO001              ,Elop Electro Optics,A3150               
